Year,Project Name,Token Ticker,Listing Date (First TT Data),Market Cap at Listing ($),Market Cap 12 Months After ($),FDV at Listing ($),FDV 12 Months After ($),MC / FDV at Listing,MC / FDV 12 Months After,Average Market Cap (Both Dates) ($),Sector / Vertical,Token Price at Listing ($),Token Price 12 Months After ($),Change in Token Price after 12 Months,Qualifies Because,Market Cap 6 Months After ($),Market Cap 24 Months After ($),FDV 6 Months After ($),FDV 24 Months After ($),Token Price 6 Months After ($),Token Price 24 Months After ($)
2021,Alchemix,ALCHEMIX,3/1/21,"$33,382,027 ","$163,383,534 ","$502,684,938 ","$142,216,258 ",6.60%,114.90%,"$98,382,780 ",Asset Management,"$1,050.30 ",$141.20 ,-87%,MC at 12 months > $100M,"$226,180,161.00 ","$37,753,903.00 ","$3,405,945,367.22 ","$568,519,053.35 ",$364.92 ,$22.01 
2021,Illuvium,ILLUVIUM,3/30/21,"$6,615,161 ","$417,174,029 ","$332,544,431 ","$4,559,381,269 ",2.00%,9.10%,"$211,894,595 ",Gaming,$46.70 ,$639.90 ,1270%,MC at 12 months > $100M,"$298,588,592.00 ","$148,056,277.00 ","$15,010,061,498.08 ","$7,442,795,480.10 ",$471.81 ,$59.90 
2021,Conflux,CONFLUX,4/27/21,"$835,560,689 ","$268,580,351 ","$5,351,493,910 ","$838,910,855 ",15.60%,32.00%,"$552,070,520 ",Layer 1 (blockchains-l1),$1.00 ,$0.20 ,-80%,MC at listing > $100M,"$344,434,300.00 ","$671,666,054.00 ","$2,205,989,442.91 ","$4,301,802,184.87 ",$0.34 ,$0.32 
2021,Convexfinance,CONVEXFINANCE,5/16/21,"$3,288,159 ","$684,683,012 ","$243,260,865 ","$563,486,509 ",1.40%,121.50%,"$343,985,585 ",Asset Management,$4.90 ,$11.00 ,124%,MC at 12 months > $100M,"$1,096,500,034.00 ","$361,914,595.00 ","$81,120,026,964.44 ","$26,774,756,766.88 ",$29.85 ,$4.69 
2021,Internetcomputer,INTERNETCOMPUTER,5/21/21,"$17,845,405,572 ","$1,875,380,861 ","$67,287,734,256 ","$3,935,563,939 ",26.50%,47.70%,"$9,860,393,217 ",Layer 1 (blockchains-l1),$143.40 ,$8.00 ,-94%,MC at listing > $100M,"$7,979,476,533.00 ","$2,277,077,454.00 ","$30,087,346,252.13 ","$8,585,928,853.61 ",$43.76 ,$5.22 
2021,Abracadabra,ABRACADABRA,5/27/21,"$14,891,844 ","$111,455,606 ","$15,401,586 ","$239,289,466 ",96.70%,46.60%,"$63,173,725 ",Stablecoin Issuer,$0.01 ,$0.01 ,0%,MC at 12 months > $100M,"$945,515,187.00 ","$67,292,272.00 ","$977,879,802.32 ","$69,595,660.17 ",$0.01 ,$0.00 
2021,Kyber,KYBER,5/29/21,"$57,929,074 ","$196,024,745 ","$167,693,231 ","$208,989,371 ",34.50%,93.80%,"$126,976,909 ",DEX Aggregator,$1.50 ,$1.90 ,27%,MC at 12 months > $100M,"$207,824,616.00 ","$110,350,126.00 ","$601,611,227.87 ","$319,441,825.88 ",$2.03 ,$0.64 
2021,Mina,MINA,5/31/21,"$479,212,619 ","$506,463,568 ","$3,575,611,491 ","$1,053,780,568 ",13.40%,48.10%,"$492,838,093 ",Layer 1 (blockchains-l1),$3.30 ,$1.00 ,-70%,MC at listing > $100M,"$1,477,853,740.00 ","$515,807,858.00 ","$11,026,902,475.54 ","$3,848,664,311.18 ",$4.80 ,$0.57 
2021,Osmosis,OSMOSIS,7/7/21,"$335,523,516 ","$361,046,676 ","$947,550,870 ","$286,118,229 ",35.40%,126.20%,"$348,285,096 ",Exchange (CEX/DEX),$2.90 ,$0.90 ,-69%,MC at listing > $100M,"$2,260,271,032.00 ","$297,918,650.00 ","$6,383,224,068.29 ","$841,351,090.27 ",$8.51 ,$0.49 
2021,Deso,DESO,7/15/21,"$1,068,158,445 ","$85,704,811 ","$1,092,838,922 ","$88,047,051 ",97.70%,97.30%,"$576,931,628 ",Layer 1 (blockchains-l1),$101.10 ,$8.10 ,-92%,MC at listing > $100M,"$745,945,501.00 ","$96,759,976.00 ","$763,181,043.97 ","$98,995,676.49 ",$70.94 ,$9.20 
2021,Shapeshift,SHAPESHIFT,7/16/21,"$214,929,474 ","$32,718,199 ","$652,097,598 ","$78,763,754 ",33.00%,41.50%,"$123,823,836 ",Exchange (CEX/DEX),$0.70 ,$0.10 ,-86%,MC at listing > $100M,"$85,166,589.00 ","$10,568,339.00 ","$258,396,054.68 ","$32,064,417.92 ",$0.44 ,$0.02 
2021,Coin98,COIN98,7/22/21,"$135,654,496 ","$87,897,001 ","$74,232,637 ","$475,051,279 ",182.70%,18.50%,"$111,775,749 ",Exchange (CEX/DEX),$0.70 ,$0.50 ,-29%,MC at listing > $100M,"$338,757,213.00 ","$77,885,176.00 ","$185,374,181.95 ","$42,620,201.82 ",$1.83 ,$0.15 
2021,Ygg,YGG,7/27/21,"$126,641,480 ","$150,300,715 ","$1,440,642,507 ","$813,626,106 ",8.80%,18.50%,"$138,471,098 ",Gaming,$1.40 ,$0.80 ,-43%,MC at listing > $100M,"$241,339,190.00 ","$30,566,922.00 ","$2,745,415,607.26 ","$347,721,829.70 ",$2.72 ,$0.17 
2021,Metis,METIS,8/23/21,"$12,355,654 ","$151,222,716 ","$55,253,511 ","$187,762,122 ",22.40%,80.50%,"$81,789,185 ",Layer 2 (blockchains-l2),$11.20 ,$34.70 ,210%,MC at 12 months > $100M,"$267,274,766.00 ","$52,823,643.00 ","$1,195,231,690.95 ","$236,223,168.73 ",$107.83 ,$12.13 
2021,Staratlas,STARATLAS,9/4/21,"$315,089,414 ","$8,178,337 ","$5,266,558,699 ","$136,586,013 ",6.00%,6.00%,"$161,633,875 ",Gaming,$14.60 ,$0.40 ,-97%,MC at listing > $100M,"$67,257,197.00 ","$19,883,745.00 ","$1,124,169,712.44 ","$332,346,646.84 ",$0.03 ,$0.00 
2021,dYdX,DYDX,9/7/21,"$669,948,674 ","$181,585,999 ","$12,600,000,000 ","$1,500,000,000 ",5.30%,12.10%,"$425,767,336 ",Derivatives,$12.60 ,$1.50 ,-88%,MC at listing > $100M,"$413,210,771.00 ","$357,259,141.00 ","$4,843,712,000.00 ","$2,047,153,000.00 ",$4.84 ,$2.05 
2021,GMX,GMX,9/20/21,"$77,713,208 ","$317,314,455 ","$77,832,940 ","$315,737,725 ",99.80%,100.50%,"$197,513,832 ",Derivatives,$12.00 ,$39.50 ,229%,MC at 12 months > $100M,"$225,695,183.00 ","$325,960,535.00 ","$226,042,909.42 ","$326,462,739.29 ",$30.19 ,$36.16 
2021,Ribbon,RIBBON,10/6/21,"$160,538,224 ","$146,781,161 ","$4,412,340,763 ","$273,931,519 ",3.60%,53.60%,"$153,659,692 ",Asset Management,$4.40 ,$0.30 ,-93%,MC at listing > $100M,"$70,597,749.00 ","$133,940,649.00 ","$1,940,356,121.60 ","$3,681,315,082.98 ",$1.35 ,$0.17 
2021,Synapse,SYNAPSE,10/12/21,"$210,473,614 ","$192,792,871 ","$19,757,023 ","$188,915,963 ",1065.30%,102.10%,"$201,633,243 ",Bridge / Interoperability,$2.90 ,$1.00 ,-66%,MC at listing > $100M,"$465,980,188.00 ","$53,124,879.00 ","$43,741,261.04 ","$4,986,798.28 ",$2.56 ,$0.28 
2021,Klimadao,KLIMADAO,10/25/21,"$1,007,780,083 ","$18,131,108 ","$1,176,804,584 ","$20,923,606 ",85.60%,86.70%,"$512,955,595 ",Infrastructure,"$3,637.00 ",$2.40 ,-100%,MC at listing > $100M,"$90,547,009.00 ","$5,956,698.00 ","$105,733,519.70 ","$6,955,753.17 ",$18.09 ,$0.67 
2021,Dfk,DFK,10/27/21,"$243,764,869 ","$20,360,571 ","$1,895,630,142 ","$71,451,514 ",12.90%,28.50%,"$132,062,720 ",Layer 1 (blockchains-l1),$4.80 ,$0.20 ,-96%,MC at listing > $100M,"$244,745,127.00 ","$7,350,624.00 ","$1,903,253,088.73 ","$57,161,905.54 ",$2.92 ,$0.10 
2021,Ens,ENS,11/8/21,"$593,412,743 ","$347,828,070 ","$4,343,642,546 ","$1,340,290,807 ",13.70%,26.00%,"$470,620,407 ",Infrastructure,$43.40 ,$13.40 ,-69%,MC at listing > $100M,"$456,860,114.00 ","$217,719,591.00 ","$3,344,109,226.08 ","$1,593,656,505.90 ",$18.32 ,$8.48 
2021,Immutable,IMMUTABLE,11/10/21,"$951,795,211 ","$337,255,184 ","$10,372,057,849 ","$987,828,539 ",9.20%,34.10%,"$644,525,198 ",Layer 2 (blockchains-l2),$5.20 ,$0.50 ,-90%,MC at listing > $100M,"$273,388,480.00 ","$1,128,697,934.00 ","$2,979,213,487.35 ","$12,299,831,024.78 ",$1.16 ,$0.90 
2021,Paraswap,PARASWAP,11/14/21,"$105,665,065 ","$11,246,611 ","$3,101,398,118 ","$54,930,792 ",3.40%,20.50%,"$58,455,838 ",DEX Aggregator,$1.60 ,$0.01 ,-99%,MC at listing > $100M,"$16,450,585.00 ","$26,369,300.00 ","$482,844,669.23 ","$773,971,012.96 ",$0.04 ,$0.03 
2021,Vvs,VVS,11/16/21,"$56,140,985 ","$113,338,703 ","$11,561,020,372 ","$322,003,267 ",0.50%,35.20%,"$84,739,844 ",Exchange (CEX/DEX),$0.01 ,$0.01 ,0%,MC at 12 months > $100M,"$172,990,371.00 ","$145,590,564.00 ","$35,623,621,553.68 ","$29,981,224,525.63 ",$0.00 ,$0.00 
2021,Swarm,SWARM,11/24/21,"$156,042,679 ","$29,643,709 ","$162,788,775 ","$32,328,832 ",95.90%,91.70%,"$92,843,194 ",Infrastructure,$2.30 ,$0.50 ,-78%,MC at listing > $100M,"$33,281,548.00 ","$20,084,258.00 ","$34,720,388.45 ","$20,952,548.22 ",$0.53 ,$0.32 
2021,Bobanetwork,BOBANETWORK,12/6/21,"$577,452,416 ","$62,434,801 ","$1,862,732,194 ","$98,935,438 ",31.00%,63.10%,"$319,943,608 ",Layer 2 (blockchains-l2),$3.70 ,$0.20 ,-95%,MC at listing > $100M,"$69,756,996.00 ","$66,052,251.00 ","$225,020,449.49 ","$213,069,771.66 ",$0.44 ,$0.19 
2021,Biconomy,BICONOMY,12/7/21,"$410,103,792 ","$72,393,249 ","$6,250,867,438 ","$292,592,555 ",6.60%,24.70%,"$241,248,521 ",Infrastructure,$6.30 ,$0.30 ,-95%,MC at listing > $100M,"$104,133,587.00 ","$218,887,321.00 ","$1,587,220,749.67 ","$3,336,315,474.57 ",$0.72 ,$0.31 
2021,Biswap,BISWAP,12/13/21,"$232,691,085 ","$72,052,628 ","$672,725,160 ","$88,375,607 ",34.60%,81.50%,"$152,371,857 ",Exchange (CEX/DEX),$1.50 ,$0.20 ,-87%,MC at listing > $100M,"$104,367,430.00 ","$36,751,240.00 ","$301,733,072.61 ","$106,250,240.78 ",$0.39 ,$0.10 
2022,Moonbeam,MOONBEAM,1/12/22,"$668,557,447 ","$193,193,031 ","$8,974,377,050 ","$356,247,438 ",7.40%,54.20%,"$430,875,239 ",Layer 2 (blockchains-l2),$8.90 ,$0.40 ,-96%,MC at listing > $100M,"$198,352,342.00 ","$359,680,447.00 ","$2,662,581,523.62 ","$4,828,168,414.51 ",$0.60 ,$0.44 
2022,Aurora,AURORA,1/14/22,"$694,637,027 ","$28,672,011 ","$34,950,482,552 ","$225,402,150 ",2.00%,12.70%,"$361,654,519 ",Layer 2 (blockchains-l2),$35.00 ,$0.20 ,-99%,MC at listing > $100M,"$74,086,951.00 ","$110,608,110.00 ","$3,727,665,798.98 ","$5,565,218,478.72 ",$1.42 ,$0.28 
2022,Pocketnetwork,POCKETNETWORK,1/16/22,"$1,710,033,818 ","$81,119,798 ","$2,170,070,389 ","$48,801,343 ",78.80%,166.20%,"$895,576,808 ",Infrastructure,$2.60 ,$0.10 ,-96%,MC at listing > $100M,"$104,309,452.00 ","$320,764,098.00 ","$132,370,980.44 ","$407,056,669.64 ",$0.09 ,$0.21 
2022,Acala,ACALA,1/24/22,"$135,505,377 ","$81,336,551 ","$1,991,232,589 ","$132,573,498 ",6.80%,61.40%,"$108,420,964 ",Layer 2 (blockchains-l2),$2.00 ,$0.10 ,-95%,MC at listing > $100M,"$137,405,201.00 ","$70,307,344.00 ","$2,019,150,237.33 ","$1,033,156,600.26 ",$0.29 ,$0.08 
2022,Ronin,RONIN,1/26/22,"$527,135,132 ","$110,011,975 ","$3,557,233,552 ","$741,847,765 ",14.80%,14.80%,"$318,573,554 ",Layer 1 (blockchains-l1),$3.60 ,$0.70 ,-81%,MC at listing > $100M,"$60,943,002.00 ","$636,450,474.00 ","$411,257,907.72 ","$4,294,919,543.13 ",$0.41 ,$2.22 
2022,Aliagents,ALIAGENTS,2/16/22,"$26,899,636 ","$220,795,182 ","$478,584,887 ","$618,059,819 ",5.60%,35.70%,"$123,847,409 ",Infrastructure,$0.10 ,$0.10 ,0%,MC at 12 months > $100M,"$27,255,485.00 ","$85,585,081.00 ","$484,915,974.66 ","$1,522,687,010.31 ",$0.02 ,$0.02 
2022,Bitdao,BITDAO,2/21/22,"$1,224,789,363 ","$804,064,450 ","$14,232,252,130 ","$5,860,067,997 ",8.60%,13.70%,"$1,014,426,906 ",Asset Management,$1.40 ,$0.60 ,-57%,MC at listing > $100M,"$483,975,707.00 ",N/A,"$5,623,876,639.45 ",N/A,$0.46 ,$0.77 
2022,Worldmobilechain,WORLDMOBILECHAIN,3/1/22,"$180,119,326 ","$70,706,104 ","$1,536,566,832 ","$387,163,436 ",11.70%,18.30%,"$125,412,715 ",Infrastructure,$0.80 ,$0.20 ,-75%,MC at listing > $100M,"$54,958,910.00 ","$113,138,113.00 ","$468,844,960.20 ","$965,161,683.27 ",$0.20 ,$0.21 
2022,Apechain,APECHAIN,3/16/22,"$946,081,402 ","$1,524,867,683 ","$8,536,838,712 ","$4,140,668,749 ",11.10%,36.80%,"$1,235,474,543 ",Layer 3 (blockchains-l3),$8.50 ,$4.10 ,-52%,MC at listing > $100M,"$1,541,335,994.00 ","$1,343,802,599.00 ","$13,908,038,731.09 ","$12,125,622,619.98 ",$4.90 ,$2.19 
2022,Cowswap,COWSWAP,3/27/22,"$110,969,567 ","$11,677,268 ","$1,549,667,481 ","$81,281,355 ",7.20%,14.40%,"$61,323,417 ",DEX Aggregator,$1.50 ,$0.10 ,-93%,MC at listing > $100M,"$9,628,528.00 ","$71,282,228.00 ","$134,460,439.33 ","$995,441,846.73 ",$0.09 ,$0.33 
2022,Onyx,ONYX,4/11/22,"$1,487,721,255 ","$98,369,390 ","$6,557,083,300 ","$202,319,534 ",22.70%,48.60%,"$793,045,322 ",Lending,$0.10 ,$0.01 ,-90%,MC at listing > $100M,"$1,545,639,683.00 ","$69,674,156.00 ","$6,812,356,897.61 ","$307,086,588.44 ",$0.07 ,$0.00 
2022,Evmos,EVMOS,5/5/22,"$811,488,058 ","$143,084,077 ","$1,599,084,796 ","$288,826,983 ",50.70%,49.50%,"$477,286,068 ",Layer 1 (blockchains-l1),$4.00 ,$0.30 ,-93%,MC at listing > $100M,"$660,605,614.00 ","$21,283,313.00 ","$1,301,762,093.83 ","$41,940,016.11 ",$1.94 ,$0.04 
2022,Ssvnetwork,SSVNETWORK,5/22/22,"$58,248,836 ","$175,989,394 ","$90,202,705 ","$263,454,707 ",64.60%,66.80%,"$117,119,115 ",Liquid Staking,$8.50 ,$24.90 ,193%,MC at 12 months > $100M,"$72,230,615.00 ","$328,191,628.00 ","$111,854,541.73 ","$508,229,428.03 ",$10.35 ,$46.33 
2022,Optimism,OP,6/1/22,"$266,010,908 ","$894,471,947 ","$5,315,463,773 ","$5,962,890,946 ",5.00%,15.00%,"$580,241,427 ",Layer 2 (blockchains-l2),$1.20 ,$1.40 ,17%,MC at listing > $100M,"$216,703,381.00 ","$2,677,954,593.00 ","$4,330,194,501.62 ","$53,511,229,038.89 ",$1.01 ,$2.46 
2022,Stargate,STARGATE,6/15/22,"$57,770,189 ","$112,179,856 ","$433,456,529 ","$548,754,729 ",13.30%,20.40%,"$84,975,023 ",Bridge / Interoperability,$0.40 ,$0.50 ,25%,MC at 12 months > $100M,"$53,494,770.00 ","$106,402,485.00 ","$401,377,556.92 ","$798,350,371.07 ",$0.39 ,$0.52 
2022,Terra,LUNA,6/15/22,"$314,620,254 ","$171,310,604 ","$2,529,858,295 ","$588,420,177 ",12.40%,29.10%,"$242,965,429 ",Layer 1 (blockchains-l1),$2.50 ,$0.60 ,-76%,MC at listing > $100M,"$288,494,274.00 ","$338,079,731.00 ","$2,319,779,552.84 ","$2,718,495,713.38 ",$1.63 ,$0.49 
2022,Sweatcoin,SWEATCOIN,9/14/22,"$152,274,051 ","$55,458,462 ","$1,579,879,198 ","$159,600,488 ",9.60%,34.70%,"$103,866,256 ",Social,$0.10 ,$0.01 ,-90%,MC at listing > $100M,"$37,125,848.00 ","$58,354,559.00 ","$385,189,430.36 ","$605,442,314.48 ",$0.01 ,$0.01 
2022,Aptos,APT,10/19/22,"$941,159,623 ","$1,202,978,320 ","$7,206,074,756 ","$5,210,214,812 ",13.10%,23.10%,"$1,072,068,971 ",Layer 1 (blockchains-l1),$7.20 ,$4.90 ,-32%,MC at listing > $100M,"$2,378,350,922.00 ","$5,182,069,441.00 ","$18,210,061,419.02 ","$39,676,988,759.46 ",$12.69 ,$10.03 
2022,Alephzero,ALEPHZERO,10/20/22,"$170,591,638 ","$181,016,619 ","$274,029,945 ","$254,111,234 ",62.30%,71.20%,"$175,804,128 ",Layer 2 (blockchains-l2),$0.90 ,$0.70 ,-22%,MC at listing > $100M,"$314,987,813.00 ","$132,244,889.00 ","$505,980,797.68 ","$212,431,629.62 ",$1.40 ,$0.39 
2022,Ton,TON,11/2/22,"$2,295,567,920 ","$7,700,126,110 ","$7,879,448,868 ","$11,361,775,121 ",29.10%,67.80%,"$4,997,847,015 ",Layer 1 (blockchains-l1),$1.60 ,$2.20 ,38%,MC at listing > $100M,"$3,086,248,906.00 ","$12,442,694,124.00 ","$10,593,431,035.90 ","$42,709,070,498.87 ",$2.09 ,$4.89 
2022,Hashflow,HASHFLOW,11/6/22,"$179,227,812 ","$48,480,443 ","$1,023,494,688 ","$276,872,594 ",17.50%,17.50%,"$113,854,127 ",DEX Aggregator,$1.00 ,$0.30 ,-70%,MC at listing > $100M,"$94,812,481.00 ","$53,743,879.00 ","$541,434,220.37 ","$306,908,699.35 ",$0.54 ,$0.12 
2022,Axelar,AXELAR,11/29/22,"$45,075,645 ","$363,912,159 ","$563,149,522 ","$839,688,819 ",8.00%,43.30%,"$204,493,902 ",Infrastructure,$0.60 ,$0.80 ,33%,MC at 12 months > $100M,"$128,939,564.00 ","$814,547,491.00 ","$1,610,897,721.67 ","$10,176,493,984.79 ",$0.47 ,$0.95 
2023,Stride,STRIDE,1/26/23,"$24,873,832 ","$335,574,327 ","$24,878,451 ","$336,062,560 ",100.00%,99.90%,"$180,224,080 ",Liquid Staking,$0.30 ,$3.80 ,1167%,MC at 12 months > $100M,"$77,886,576.00 ","$42,296,644.00 ","$77,901,039.32 ","$42,304,498.37 ",$0.90 ,$0.46 
2023,Blur,BLUR,2/13/23,"$235,348,890 ","$908,140,153 ","$1,954,451,041 ","$2,080,718,875 ",12.00%,43.60%,"$571,744,522 ",NFT,$0.70 ,$0.70 ,0%,MC at listing > $100M,"$239,867,369.00 ","$319,235,046.00 ","$1,991,974,676.59 ","$2,651,082,263.35 ",$0.29 ,$0.15 
2023,Hookedprotocol,HOOKEDPROTOCOL,2/20/23,"$130,044,762 ","$135,631,802 ","$1,306,476,042 ","$527,880,524 ",10.00%,25.70%,"$132,838,282 ",Social,$2.60 ,$1.10 ,-58%,MC at listing > $100M,"$39,307,800.00 ","$45,739,921.00 ","$394,900,172.63 ","$459,519,553.35 ",$0.79 ,$0.20 
2023,Echelon,ECHELON,3/6/23,"$54,129,304 ","$511,326,635 ","$356,673,597 ","$1,592,067,379 ",15.20%,32.10%,"$282,727,969 ",Infrastructure,$3.20 ,$14.30 ,347%,MC at 12 months > $100M,"$82,293,912.00 ","$253,090,147.00 ","$542,258,322.85 ","$1,667,683,979.38 ",$3.58 ,$4.50 
2023,Spaceid,SPACEID,3/21/23,"$126,465,001 ","$721,885,753 ","$882,411,620 ","$3,350,100,678 ",14.30%,21.50%,"$424,175,377 ",Infrastructure,$0.40 ,$1.70 ,325%,MC at listing > $100M,"$57,232,197.00 ","$115,435,025.00 ","$399,338,593.85 ","$805,449,781.44 ",$0.20 ,$0.27 
2023,Arbitrum,ARB,3/22/23,"$1,712,523,159 ","$4,472,212,946 ","$13,450,629,002 ","$16,852,971,596 ",12.70%,26.50%,"$3,092,368,052 ",Layer 2 (blockchains-l2),$1.30 ,$1.70 ,31%,MC at listing > $100M,"$1,049,120,590.00 ","$1,660,675,971.00 ","$8,240,082,337.16 ","$13,043,406,894.13 ",$0.82 ,$0.36 
2023,Smardex,SMARDEX,3/28/23,"$22,450,167 ","$171,226,499 ","$38,641,697 ","$208,849,767 ",58.10%,82.00%,"$96,838,333 ",Exchange (CEX/DEX),$0.01 ,$0.01 ,0%,MC at 12 months > $100M,"$56,404,093.00 ","$43,411,783.00 ","$97,083,904.60 ","$74,721,268.88 ",$0.01 ,$0.00 
2023,Chaingpt,CHAINGPT,4/19/23,"$9,125,019 ","$107,153,539 ","$106,703,893 ","$247,145,001 ",8.60%,43.40%,"$58,139,279 ",Infrastructure,$0.10 ,$0.20 ,100%,MC at 12 months > $100M,"$9,677,558.00 ","$54,408,551.00 ","$113,165,037.06 ","$636,229,272.97 ",$0.04 ,$0.07 
2023,Sui,SUI,5/2/23,"$739,983,995 ","$2,686,467,164 ","$14,005,671,793 ","$11,478,890,617 ",5.30%,23.40%,"$1,713,225,579 ",Layer 1 (blockchains-l1),$1.40 ,$1.10 ,-21%,MC at listing > $100M,"$448,993,274.00 ","$11,838,452,396.00 ","$8,498,092,493.08 ","$224,066,304,022.47 ",$0.47 ,$3.55 
2023,Maverick,MAVERICK,6/27/23,"$129,844,097 ","$67,647,940 ","$1,038,130,727 ","$541,701,980 ",12.50%,12.50%,"$98,746,018 ",Exchange (CEX/DEX),$0.50 ,$0.30 ,-40%,MC at listing > $100M,"$108,272,080.00 ","$25,319,682.00 ","$865,657,936.87 ","$202,436,156.05 ",$0.43 ,$0.04 
2023,Arkham,ARKHAM,7/20/23,"$87,832,163 ","$397,291,245 ","$586,083,439 ","$1,641,816,398 ",15.00%,24.20%,"$242,561,704 ",Infrastructure,$0.60 ,$1.60 ,167%,MC at 12 months > $100M,"$89,834,253.00 ","$267,962,866.00 ","$599,442,916.35 ","$1,788,053,403.96 ",$0.53 ,$0.58 
2023,Worldcoin,WORLDCOIN,7/23/23,"$228,624,084 ","$646,613,439 ","$21,862,579,248 ","$22,732,046,751 ",1.00%,2.80%,"$437,618,762 ",Infrastructure,$2.20 ,$2.30 ,5%,MC at listing > $100M,"$263,563,941.00 ","$2,468,861,873.00 ","$25,203,764,390.05 ","$236,089,249,244.75 ",$2.26 ,$1.39 
2023,Mantle,MANTLE,7/24/23,"$1,800,199,304 ","$2,907,072,749 ","$3,464,065,200 ","$5,534,004,867 ",52.00%,52.50%,"$2,353,636,027 ",Layer 2 (blockchains-l2),$0.60 ,$0.90 ,50%,MC at listing > $100M,"$1,957,688,694.00 ","$2,659,283,991.00 ","$3,767,116,931.03 ","$5,117,174,031.60 ",$0.62 ,$0.79 
2023,Seinetwork,SEINETWORK,8/14/23,"$315,088,294 ","$933,871,935 ","$1,755,525,039 ","$2,946,181,557 ",17.90%,31.70%,"$624,480,114 ",Layer 1 (blockchains-l1),$0.20 ,$0.30 ,50%,MC at listing > $100M,"$1,836,971,547.00 ","$2,060,277,618.00 ","$10,234,748,824.69 ","$11,478,906,117.95 ",$0.76 ,$0.36 
2023,Bananagun,BANANAGUN,9/17/23,"$29,141,443 ","$131,957,894 ","$120,131,685 ","$322,597,708 ",24.30%,40.90%,"$80,549,669 ",Infrastructure,$12.00 ,$38.20 ,218%,MC at 12 months > $100M,"$70,335,730.00 ","$86,664,238.00 ","$289,949,600.66 ","$357,261,681.93 ",$29.32 ,$21.58 
2023,Hivemapper,HIVEMAPPER,10/11/23,"$1,951,503 ","$151,404,034 ","$73,203,613 ","$354,816,413 ",2.70%,42.70%,"$76,677,768 ",DePIN,$0.10 ,$0.10 ,0%,MC at 12 months > $100M,"$163,535,455.00 ","$62,871,811.00 ","$6,134,444,148.74 ","$2,358,409,759.58 ",$0.13 ,$0.01 
2023,Aerodrome,AERODROME,10/13/23,"$2,289,157 ","$830,239,304 ","$11,928,250 ","$1,669,141,816 ",19.20%,49.70%,"$416,264,231 ",Exchange (CEX/DEX),$0.10 ,$1.30 ,1200%,MC at 12 months > $100M,"$741,092,262.00 ","$828,779,995.00 ","$3,861,654,650.25 ","$4,318,574,468.84 ",$1.84 ,$0.92 
2023,Polygon,MATIC,10/26/23,"$37,659,317 ","$2,450,541,722 ","$6,341,570,726 ","$3,302,839,027 ",0.60%,74.20%,"$1,244,100,520 ",Layer 2 (blockchains-l2),$0.60 ,$0.40 ,-33%,MC at 12 months > $100M,"$6,688,526,134.00 ","$2,061,277,847.00 ","$1,126,301,932,970.81 ","$347,105,053,782.24 ",$0.72 ,$0.20 
2023,Celestia,TIA,10/30/23,"$330,681,036 ","$1,162,157,674 ","$2,301,070,297 ","$5,690,526,461 ",14.40%,20.40%,"$746,419,355 ",Data Availability (other),$2.30 ,$5.30 ,130%,MC at listing > $100M,"$1,768,228,514.00 ","$838,067,783.00 ","$12,304,358,789.64 ","$5,831,761,342.17 ",$9.77 ,$1.01 
2023,Buildonbeam,BUILDONBEAM,11/8/23,"$145,521,236 ","$1,001,893,006 ","$347,413,558 ","$1,175,725,294 ",41.90%,85.20%,"$573,707,121 ",Layer 1 (blockchains-l1),$0.01 ,$0.01 ,0%,MC at listing > $100M,"$1,283,368,097.00 ","$231,405,817.00 ","$3,063,879,122.10 ","$552,452,139.88 ",$0.02 ,$0.00 
2023,Bittensor,BITTENSOR,11/16/23,"$902,684,991 ","$3,823,496,725 ","$910,650,938 ","$10,878,472,787 ",99.10%,35.10%,"$2,363,090,858 ",Layer 1 (blockchains-l1),$161.10 ,$518.00 ,222%,MC at listing > $100M,"$2,651,836,058.00 ","$3,220,026,846.00 ","$2,675,237,782.52 ","$3,248,442,698.10 ",$390.74 ,$335.49 
2023,Pyth,PYTH,11/21/23,"$455,908,153 ","$1,500,873,979 ","$3,010,996,575 ","$4,131,353,943 ",15.10%,36.30%,"$978,391,066 ",Oracle,$0.30 ,$0.40 ,33%,MC at listing > $100M,"$690,751,059.00 ","$466,016,643.00 ","$4,561,991,399.23 ","$3,077,757,014.72 ",$0.46 ,$0.08 
2023,Lukso,LUKSO,11/27/23,"$201,371,035 ","$51,174,508 ","$269,152,189 ","$70,822,712 ",74.80%,72.30%,"$126,272,771 ",Layer 1 (blockchains-l1),$5.90 ,$1.70 ,-71%,MC at listing > $100M,"$107,077,765.00 ","$18,799,402.00 ","$143,119,961.83 ","$25,127,249.31 ",$3.54 ,$0.61 
2023,Jito,JITO,12/6/23,"$279,916,859 ","$478,627,739 ","$2,427,070,430 ","$3,618,982,707 ",11.50%,13.20%,"$379,272,299 ",Liquid Staking,$2.40 ,$3.60 ,50%,MC at listing > $100M,"$454,721,172.00 ","$176,513,007.00 ","$3,942,743,264.55 ","$1,530,488,379.05 ",$3.71 ,$0.43 
2023,Metaplex,METAPLEX,12/6/23,"$40,793,153 ","$286,804,933 ","$107,545,562 ","$378,289,056 ",37.90%,75.80%,"$163,799,043 ",NFT,$0.10 ,$0.40 ,300%,MC at 12 months > $100M,"$156,712,405.00 ","$43,897,877.00 ","$413,150,796.85 ","$115,730,741.69 ",$0.29 ,$0.08 
