Deal ID,Companies,Verticals,Company Country/Territory/Region,Year Founded,Company City,HQ Global Sub Region,HQ Global Region,HQ Location,Primary PitchBook Industry Code,Primary PitchBook Industry Group,Primary PitchBook Industry Sector,Deal Date,Time to Exit,Deal Type,Post Valuation,Raised to Date,Description,Investors,Shock_Category,Shock_Subcategory,Causal_Justification
282527-47T,Sionna Therapeutics (NAS: SION),"HealthTech, Life Sciences",United States,2019,Waltham,North America,Americas,"Waltham, MA",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,6-Feb-25,6,IPO,765.37,521.44,"Sionna Therapeutics Inc is a clinical-stage biopharmaceutical company on a mission to revolutionize the current treatment paradigm for cystic fibrosis (CF) patients by developing novel medicines that normalize the function of the cystic fibrosis transmembrane conductance regulator (CFTR) protein to deliver clinically meaningful benefit to CF patients. CF is a progressive and life-threatening genetic disease caused by inherited mutations in the CFTR gene, which heads to insufficient CFTR function. The Company is managed as one operating segment focused on the research and development of cystic fibrosis therapies.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
280924-66T,Next Generation Technology Group (TKS: 319A),,Japan,2018,Tokyo,East Asia,Asia,"Tokyo, Japan",Private Equity,Capital Markets/Institutions,Financial Services,5-Feb-25,7,IPO,110.26,9.98,Next Generation Technology Group Inc is involved in the acquisition of manufacturing and manufacturing-related companies and management support for the acquired companies. its mission is to prevent the loss of each company's technology and skills and pass them on to the next generation.,,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281123-74T,Carbon6 (Media and Information Services (B2B)),"Artificial Intelligence & Machine Learning, Marketing Tech, SaaS",Canada,2021,Toronto,North America,Americas,"Toronto, Canada",Business/Productivity Software,Software,Information Technology,4-Feb-25,4,Merger/Acquisition,212.53,104.69,"Developer of an e-commerce software bundler technology designed to simplify operational success for online entrepreneurs. The company acquires, builds, and integrates software technologies for e-commerce merchants selling on Amazon and offers educational programs, support, and research tools for merchandise and product listing online, enabling e-commerce businesses to exceed their goals and helping them to grow their business.",SPS Commerce (NAS: SPSC)(Chad Collins),Technology Shock,Generative AI (Application Layer),Founded in the post-GPT-3/ChatGPT era; business model embeds AI/ML capabilities enabled by the generative AI wave.
274859-65T,Bridge (Financial Software),"Cryptocurrency/Blockchain, FinTech, SaaS",United States,2022,San Antonio,North America,Americas,"San Antonio, TX",Financial Software,Software,Information Technology,4-Feb-25,3,Merger/Acquisition,"1,100.00",116,"Operator of a payments platform designed to simplify global money movement using stablecoins. The company's platform enables seamless integration of stablecoin payments into existing financial systems through APIs, allowing users to move, store, and accept stablecoins with minimal coding.",Stripe,Technology Shock,Blockchain / Crypto,Founded post-Bitcoin whitepaper; core business model built on blockchain/distributed ledger technology.
284176-27T,Generation Genius,EdTech,United States,2017,New York,North America,Americas,"New York, NY",Educational Software,Software,Information Technology,3-Feb-25,8,Merger/Acquisition,100,1.67,"Developer of a streaming video platform designed to provide educational content to schools. The company's platform features original series focused on science and math and covers topics in grades K-8 paired with teacher materials like quizzes, lesson plans, and discussion questions, enabling students to get access to a platform that makes learning simple and fun.",Newsela,Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
284285-17T,XOi Technologies,SaaS,United States,2013,Nashville,North America,Americas,"Nashville, TN",Business/Productivity Software,Software,Information Technology,31-Jan-25,12,Buyout/LBO,230,17.25,"Developer of a field service platform designed to connect people from all parts of a service ecosystem. The company's platform transforms operations through streamlined workflows, instant access to knowledge, robust insights, and customer transparency, enabling businesses in the HVAC, plumbing, electrical, construction, and kitchen equipment industries to create a consistent and transparent experience.",Kohlberg Kravis Roberts (NYS: KKR)(Jake Heller),Technology Shock,Cloud Computing,Founded after the AWS S3/EC2 launch; business model relies on cloud infrastructure to eliminate capital expenditure on physical servers.
279853-57T,Brigit,"FinTech, LOHAS & Wellness",United States,2017,New York,North America,Americas,"New York, NY",Financial Software,Software,Information Technology,31-Jan-25,8,Merger/Acquisition,460,122.5,"Developer of a financial platform and tools designed to promote financial health and well-being. The company's tool allows individuals to keep tabs on bills and budgets by providing insights into spending habits and avail credit without heavy interest costs, enabling clients to ensure sustainable financial wellness, prudence, and stability.",Upbound Group (NAS: UPBD),Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
277421-59T,Biotheus,"Life Sciences, Oncology",China,2018,Zhuhai,East Asia,Asia,"Zhuhai, China",Biotechnology,Pharmaceuticals and Biotechnology,Healthcare,31-Jan-25,7,Merger/Acquisition,289.85,40.55,"Developer of next generation antibody-based therapeutics. The company studies the mechanisms of TReg cells and innate immunity in cancer, discovers antibody and develops antibody-based therapeutics, enabling patients to have more efficient immunity therapy and drugs for cancer and metabolic diseases.",BioNTech (NAS: BNTX),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281966-86T,Metsera,Life Sciences,United States,2022,New York,North America,Americas,"New York, NY",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,31-Jan-25,3,IPO,"1,895.88",881.45,"Operator of a clinical-stage biopharmaceutical company and platform technologies intended to accelerate the development of medicines for obesity and metabolic diseases. The company's platform utilizes a proprietary MINT peptide library of NuSH analog peptides alongside its Half-life Augmentation by Lipid Optimization half-life extending platform to advance a broad, scalable, and combinable portfolio of both injectable and oral peptide therapies, enabling the treatment of metabolic diseases by addressing current limitations of approved therapies and anticipated limitations of next-generation therapies in development.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281530-54T,Maze Therapeutics (NAS: MAZE),"HealthTech, Life Sciences",United States,2018,South San Francisco,North America,Americas,"South San Francisco, CA",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,30-Jan-25,7,IPO,700.43,736,"Maze Therapeutics Inc is a clinical-stage biopharmaceutical company harnessing the power of human genetics to develop novel, small-molecule precision medicines for patients living with renal, cardiovascular and related metabolic, or CVRM, diseases, including obesity. The company is advancing a pipeline using its Compass platform, which allows the company to identify and characterize genetic variants in disease and then link those variants to the biological pathways that drive disease in specific patient groups through a process it refers to as variant functionalization. It is currently advancing two programs, MZE829 and MZE782, each of which represents a novel precision medicine-based approach for chronic kidney disease, or CKD.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281376-10T,Beta Bionics (NAS: BBNX),HealthTech,United States,2015,Irvine,North America,Americas,"Irvine, CA",Therapeutic Devices,Healthcare Devices and Supplies,Healthcare,29-Jan-25,10,IPO,728.61,553,"Beta Bionics Inc is a commercial-stage medical device company engaged in the design, development, and commercialization of solutions to improve the health and quality of life of insulin-requiring people with diabetes (PWD) by utilizing adaptive closed-loop algorithms to simplify and improve the treatment of their disease. The company's product includes the iLet Bionic Pancreas (iLet). The company operates as a single segment, focused on the development, manufacture, and sale of the iLet.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
226430-47T,Beijing HyperStrong Technology (SHG: 688411),"CleanTech, Climate Tech",China,2011,Beijing,East Asia,Asia,"Beijing, China",Electrical Equipment,Commercial Products,Business Products and Services (B2B),27-Jan-25,14,IPO,471.26,268.58,"Beijing HyperStrong Technology Co Ltd is engaged in research and development, production and sales of electrochemical energy storage systems. It is a ESS integrator and service provider. Its product include HyperBlock III, HyperBlock II, HyperCube Pro, HyperBox, etc.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
279938-44T,Nimble Therapeutics,Life Sciences,United States,2019,Madison,North America,Americas,"Madison, WI",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,23-Jan-25,6,Merger/Acquisition,330,10,"Developer of oral peptide therapeutics intended for immune-mediated diseases. The company uses its unique maskless chemical synthesis platform to synthesize and systematically discover novel medicines for a variety of therapeutic areas, enabling researchers to find effective treatments for diseases that are difficult to treat with conventional drugs.",AbbVie (NYS: ABBV)(Jonathon Sedgwick),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
219512-35T,Shantou Institute of Ultrasonic Instruments (SHE: 301602),Manufacturing,China,1982,Shantou,East Asia,Asia,"Shantou, China",Diagnostic Equipment,Healthcare Devices and Supplies,Healthcare,22-Jan-25,43,IPO,392.29,58.84,"Shantou Institute of Ultrasonic Instrument Co Ltd is a Research and development, production, and sales of medical imaging equipment and industrial non-destructive testing equipment. The company is engaged in research and development, manufacturing, and sales of medical ultrasound, portable DR, industrial ultrasound, and intelligent service platforms. The company's products include SIUI MAI, Color Doppler, B/W, Veterinary, X-Ray, and others.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
272033-38T,Laxmi Dental (NSE: LAXMIDENTL),HealthTech,India,2004,Mumbai,South Asia,Asia,"Mumbai, India",Medical Supplies,Healthcare Devices and Supplies,Healthcare,20-Jan-25,21,IPO,273.97,25.44,"Laxmi Dental Ltd is an end-to-end integrated dental products company. Its products include custom-made crowns and bridges, branded dental products such as clear aligners, thermoforming sheets, and aligner-related products as a part of aligner solutions, and paediatric dental products. The Group has three reportable segments: Laboratory Business segment comprises dental prostheses, such as metal-free crowns & bridges, Porcelain Fused to Metal (PFM) Crowns and Bridges, and Dentures. The Aligners Business segment comprises dental aligners, Retainers, Raw Materials for Aligners, Sport Guards, Night Guards, and Sleep Apnea Devices. The Other Business segment comprises Dental distribution products used in Dental Laboratory, Dental Clinical Services, and Dental Educational Courses.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
282613-15T,Oosto,"Artificial Intelligence & Machine Learning, Big Data",United States,2015,New York,North America,Americas,"New York, NY",Business/Productivity Software,Software,Information Technology,20-Jan-25,10,Merger/Acquisition,125,379.07,"Developer of a visual recognition platform designed to enhance security, safety, and operational efficiency. The company's platform uses artificial intelligence to provide insights from video feeds and identify individuals and incidents, enabling organizations and industries to reduce the need for manual monitoring.",Metropolis Technologies,Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
273500-38T,Siete Family Foods,"Climate Tech, E-Commerce",United States,2014,Austin,North America,Americas,"Austin, TX",Food Products,Consumer Non-Durables,Consumer Products and Services (B2C),17-Jan-25,11,Merger/Acquisition,"1,200.00",91.01,"Producer of grain-free food products intended to provide consumers with healthy Mexican-American food. The company's products include grain-free chips, tortillas, hot sauces and cashew queso which are gluten-free and dairy-free, enabling customers and food enthusiasts to overcome health problems and eat delicious and healthy snacks.",Pepsico (NAS: PEP)(Steven Williams),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
282191-23T,Splend,"Mobility Tech, Ridesharing",Australia,2015,Sydney,Oceania,Oceania,"Sydney, Australia",Automotive,Transportation,Consumer Products and Services (B2C),17-Jan-25,10,Buyout/LBO,253.71,993.33,"Provider of flexible vehicle subscription and ownership plans intended to offer eco-friendly and affordable cars to on-demand drivers and focus on earning an income. The company offers cars for drivers to earn income by using cars to drive for rideshare companies and allows users to provide relevant documents and details and make payments for booking on-demand car rentals, enabling commuters to travel hassle-free in a way that is also sustainable for the environment.","HESTA Industry Super Fund(Sonya Sawtell-Rickson), IFM Investors(Adrian Kerley)",Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
319063-87T,Kaisa (Business/Productivity Software),SaaS,Sweden,2008,Uppsala,Northern Europe,Europe,"Uppsala, Sweden",Business/Productivity Software,Software,Information Technology,16-Jan-25,17,Buyout/LBO,518.02,28.2,"Developer of a cloud-based conversation management platform designed to make digital business more conversational. The company's platform aids companies in managing conversations across emails, pop-up chat boxes, and phone calls, enabling organizations to build better relationships with their clients.","Monterro(Erik Syrén), Verdane(Pål Malmros)",Technology Shock,Cloud Computing,Founded after the AWS S3/EC2 launch; business model relies on cloud infrastructure to eliminate capital expenditure on physical servers.
282377-80T,mParticle,"Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS",United States,2012,New York,North America,Americas,"New York, NY",Business/Productivity Software,Software,Information Technology,16-Jan-25,13,Merger/Acquisition,300,306.36,"Developer of a customer data platform intended to integrate and connect data across channels. The company's platform collects user data through a variety of services and then unifies them into a single view to deliver personalized, omnichannel customer experiences, enabling businesses and marketers to create personalized customer experiences, improve marketing efficiency, and enhance operational effectiveness.",Rokt(Bruce Buchanan),Technology Shock,Cloud Computing,Founded after the AWS S3/EC2 launch; business model relies on cloud infrastructure to eliminate capital expenditure on physical servers.
212496-58T,Beijing Saimo Technology (HKG: 02571),"Autonomous cars, SaaS",China,2014,Beijing,East Asia,Asia,"Beijing, China",Business/Productivity Software,Software,Information Technology,15-Jan-25,11,IPO,222.77,99.68,"Beijing Saimo Technology Co Ltd provides testing, validation, and evaluation of the functionality, compatibility, safety, reliability, and comfortability of ICVs in the PRC. The company generates the majority of its revenue from ICV simulation testing software and platforms. Geographically, the company generates all of its revenue from the PRC.",,Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
282024-82T,Cape Analytics,"Artificial Intelligence & Machine Learning, Big Data, Real Estate Technology, SaaS",United States,2014,Palo Alto,North America,Americas,"Palo Alto, CA",Media and Information Services (B2B),Commercial Services,Business Products and Services (B2B),15-Jan-25,11,Merger/Acquisition,211,87.95,"Developer of a cloud-based property intelligence platform designed to offer an on-demand data stream of property features. The company's platform leverages geospatial imagery, computer vision, and machine learning to instantly and automatically extract proprietary property data, enabling insurers and property stakeholders to access valuable property attributes at the time of underwriting with the accuracy and detail that traditionally required an on-site inspection.",Moody's (NYS: MCO)(Robert Fauber),Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
282317-23T,Freetrade,"Artificial Intelligence & Machine Learning, CloudTech & DevOps, FinTech, Mobile, SaaS",United Kingdom,2015,London,Western Europe,Europe,"London, United Kingdom",Brokerage,Capital Markets/Institutions,Financial Services,15-Jan-25,10,Merger/Acquisition,195.94,139.65,"Developer of a mobile stock trading platform designed to help make commission-free trades in the market. The company's platform educates everyone about the benefits of long-term investing, offers clear and simple pricing, and provides a network to connect with independent financial advisers, enabling clients to save brokerage and trade fees to increase investment returns.",IG Group Holdings (LON: IGG)(Breon Corcoran),Forced-Adoption Shock,Financial Crisis (Trust Destruction),Founded post-Lehman collapse; business model addresses consumer/business distrust of traditional banking through digital alternatives.
226424-35T,Scantech Hangzhou (SHG: 688583),Advanced Manufacturing,China,2015,Hangzhou,East Asia,Asia,"Hangzhou, China",Electronic Equipment and Instruments,Computer Hardware,Information Technology,15-Jan-25,10,IPO,311.31,23.96,"Scantech (Hangzhou) Co Ltd is engaged in research & Development, production and sales of 3D visual digital products and systems.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
278954-38T,Access Healthcare,,United States,2011,Dallas,North America,Americas,"Dallas, TX",Practice Management (Healthcare),Healthcare Services,Healthcare,14-Jan-25,14,Buyout/LBO,"2,068.97",110,"Provider of revenue cycle management services intended to offer effective medical billing to clients. The company's services includes business process outsourcing and robotic process automation tools to healthcare providers, payers or related service providers, as well as providing medical billing, coding and accounts receivable management services, enabling healthcare organizations to manage accounts, bills and boost their financial performance.",New Mountain Capital(Matthew Holt),Institutional & Regulatory Shock,Health IT / Insurance Expansion,Founded post-HITECH/ACA; business model enabled by EHR mandates or insurance market expansion.
256243-69T,Yibin City Commercial Bank (HKG: 02596),,China,2006,Yibin,East Asia,Asia,"Yibin, China",Regional Banks,Commercial Banks,Financial Services,13-Jan-25,19,IPO,"1,528.64",229.34,"Yibin City Commercial Bank Co Ltd is a city commercial bank in Yibin, Sichuan Province of China. It services include Personal deposits, Personal Loans, Intermediary business, Deposit business, etc.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281731-87T,Cado Security,"Cybersecurity, SaaS",United Kingdom,2020,London,Western Europe,Europe,"London, United Kingdom",Network Management Software,Software,Information Technology,13-Jan-25,5,Buyout/LBO,161,31.62,"Developer of a cloud-native digital forensics platform designed for enterprises to investigate and respond to cyber incidents at cloud speed. The company's platform is built on an array of analytics to perform full forensic acquisition and analysis of on-premise, cloud (AWS EC2), and containerized systems, enabling organizations to reduce the financial and legal risks of a security breach by responding to security incidents.","Darktrace(Jill Popelka), Thoma Bravo(Seth Boro)",Geopolitical Shock,Surveillance Revelations (Snowden),Founded post-Snowden revelations; business model addresses heightened enterprise/consumer demand for data security and privacy protection.
288088-57T,Hygene Biomedicine,"HealthTech, Life Sciences, Manufacturing",China,2004,Zhongshan,East Asia,Asia,"Zhongshan, China",Drug Discovery,Pharmaceuticals and Biotechnology,Healthcare,11-Jan-25,21,Merger/Acquisition,110.68,,"Provider and researcher of the growth hormone products intended to serve the biotechnology industry. The company is mainly focused on the research and development of various hormone products, providing clients with industry-leading standard products and solutions.",Sansure Biotech (SHG: 688289),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281934-10T,Suzhou Sepax Technologies (SHG: 688758),Life Sciences,United States,2002,Newark,North America,Americas,"Newark, DE",Discovery Tools (Healthcare),Pharmaceuticals and Biotechnology,Healthcare,10-Jan-25,23,IPO,246.53,151.81,"Suzhou Sepax Technologies Co Ltd is engaged in the Research, development and produce liquid chromatography materials for drug analysis, detection, separation and purification.",Citic Securities Investment,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
259091-92T,Piedmont Bank,,United States,2006,Peachtree Corners,North America,Americas,"Peachtree Corners, GA",Regional Banks,Commercial Banks,Financial Services,10-Jan-25,19,Merger/Acquisition,267,64.78,"Provider of personal and commercial banking services intended to serve the community needs. The company provides conventional banking services including business banking, business loans, and mobile banking, enabling customers to enjoy an enhanced banking experience that involves personal relationships appropriate to a healthy banking relationship.",United Bankshares (NAS: UBSI)(Richard Adams),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
260185-87T,Blocks Group (HKG: 00325),"Artificial Intelligence & Machine Learning, EdTech, LOHAS & Wellness",China,2014,Shanghai,East Asia,Asia,"Shanghai, China",Recreational Goods,Consumer Durables,Consumer Products and Services (B2C),10-Jan-25,11,IPO,"1,902.93",264.02,"Bloks Group Ltd is a assembly character toys company in China. Its Bloks System that combines standardization and individuality elements to create popular and fun assembly character toys, address consumers demand for toys that recreate the essence of IP characters, and deliver the joy of assembling. It has nearly 431 SKUs available for sale, including 116 SKUs designed for children under the age of six, 295 SKUs designed for consumers between the ages of six and 16, and 20 SKUs designed or consumers over the age of 16.","Fullgoal Fund, Greenwoods Asset Management, UBS Group (SWX: UBSG)",Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
222832-09T,Juneway Electronic Technology (SHE: 301458),Manufacturing,China,2014,Jiangmen,East Asia,Asia,"Jiangmen, China",Electrical Equipment,Commercial Products,Business Products and Services (B2B),10-Jan-25,11,IPO,380.02,40.91,"Juneway Electronic Technology Co Ltd is engaged in the Design, development, manufacture and sales of current sensing precision resistors and fuses.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
282021-13T,Divvy Homes,Real Estate Technology,United States,2017,San Francisco,North America,Americas,"San Francisco, CA",Real Estate Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),10-Jan-25,8,Merger/Acquisition,"1,000.00",504.71,"Operator of a real estate company intended to make homeownership accessible to everyone. The company initiates to selects any home on the market and buys it for the renter who in turn rents the home, builds monthly savings, and buys the home whenever they are ready or walks away and cash out their savings, enabling customers to close the housing affordability gap by providing trusted, transparent and simple homeownership products for families.",Maymont Homes,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
280609-75T,Helio (Financial Software),"B2B Payments, Cryptocurrency/Blockchain, FinTech, TMT",United Kingdom,2022,London,Western Europe,Europe,"London, United Kingdom",Other Financial Services,Other Financial Services,Financial Services,9-Jan-25,3,Merger/Acquisition,175,3.31,"Developer of a web3 payment platform designed to offer simple and secure payments. The company's platform accepts crypto payments using API, libraries, and plug-ins and reduces the cost of payments by eliminating cards, enabling clients to receive cash in seconds anywhere.",MoonPay(Ivan Soto-Wright),Technology Shock,Blockchain / Crypto,Founded post-Bitcoin whitepaper; core business model built on blockchain/distributed ledger technology.
233394-04T,66Nao Brain Training (HKG: 06681),"Digital Health, EdTech, HealthTech, LOHAS & Wellness, TMT",China,2012,Nanjing,East Asia,Asia,"Nanjing, China",Decision/Risk Analysis,Healthcare Technology Systems,Healthcare,8-Jan-25,13,IPO,524.58,99.55,"BrainAurora Medical Technology Ltd is a player in China's cognitive impairment digital therapeutics (the DTx) market. It has developed a medical-grade DTx product for cognitive impairment, combining brain science with artificial intelligence (the AI) technologies, Its product pipeline include range of cognitive impairments induced by vascular diseases, neurodegenerative diseases, psychiatric disorders, and child development deficiencies, among others. The company is engaged in provision of the System integral software solutions in hospitals and out of hospitals and research project. Geographically, the company generates all of its revenue from the PRC.",Tasly Capital,Institutional & Regulatory Shock,Health IT / Insurance Expansion,Founded post-HITECH/ACA; business model enabled by EHR mandates or insurance market expansion.
281545-57T,Humi (Business/Productivity Softwar),"HR Tech, SaaS",Canada,2016,Toronto,North America,Americas,"Toronto, Canada",Business/Productivity Software,Software,Information Technology,8-Jan-25,9,Merger/Acquisition,112,49.78,"Developer of cloud-based software designed to automate human resources processes. The company's software facilitates employee recruiting and onboarding, time-off tracking, scheduling, payroll management, benefits administration, and performance monitoring and reporting, enabling businesses to simplify and modernize human resource management.",Employment Hero(Benjamin Thompson),Technology Shock,Cloud Computing,"Founded post-AWS launch; business model delivers software/services via the cloud, eliminating the need for on-premise infrastructure."
260934-13T,Navig8,Oil & Gas,United Kingdom,2007,London,Western Europe,Europe,"London, United Kingdom",Other Commercial Services,Commercial Services,Business Products and Services (B2B),7-Jan-25,18,Merger/Acquisition,"1,300.00",,"Operator of a shipping services platform based in London, England. The company offers various services such as shipping management, asset management, in-house research, and fuel services, enabling industry-leading access to information from across the globe.","Abu Dhabi National Oil Company (ADS: ADNOCDRILL), ADNOC Logistics and Services (ADS: ADNOCLS)(Abdulkareem Almessabi)",Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
223502-14T,HuangShan Googe (SHE: 301581),Manufacturing,China,2012,Huangshan,East Asia,Asia,"Huangshan, China",Application Specific Semiconductors,Semiconductors,Information Technology,3-Jan-25,13,IPO,302,17.79,"HuangShan Googe Co Ltd is engaged in Research & Development, production and sales of heat dissipation substrates for power semiconductor modules.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
274580-74T,Gynesonics,"FemTech, Manufacturing",United States,2005,Redwood City,North America,Americas,"Redwood City, CA",Surgical Devices,Healthcare Devices and Supplies,Healthcare,2-Jan-25,20,Merger/Acquisition,350,357.83,"Manufacturer of incision-free medical devices intended to develop minimally invasive devices for symptomatic uterine fibroids for women's health. The company provides women with a safe and effective scrape-free alternative to the invasive surgical techniques of hysterectomy or myomectomy, enabling clients to avail painless treatments for their severe menstrual symptoms associated with fibroids.",Hologic (NAS: HOLX),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
281116-81T,SafeSend,FinTech,United States,2008,Ann Arbor,North America,Americas,"Ann Arbor, MI",Financial Software,Software,Information Technology,2-Jan-25,17,Merger/Acquisition,600,25,"Operator of a financial platform designed for tax and accounting professionals. The company's platform simplifies tax return preparation and client communication by automating document gathering, e-signatures, and secure file transfer, integrating seamlessly with leading tax software, enabling firms to significantly reduce manual processes, improve client experience, and increase operational efficiency.",Thomson Reuters (TSE: TRI)(Elizabeth Beastrom),Forced-Adoption Shock,Financial Crisis (Trust Destruction),Founded post-Lehman collapse; business model addresses consumer/business distrust of traditional banking through digital alternatives.
299022-31T,Mrsool,"E-Commerce, Mobile",Saudi Arabia,2015,Riyadh,Middle East,Middle East,"Riyadh, Saudi Arabia",Logistics,Commercial Services,Business Products and Services (B2B),1-Jan-25,10,Buyout/LBO,200,3.8,"Developer of a delivery application designed to provide concierge services to customers. The company's application provides a contended service and lets users order food, items, papers and spare parts from the comfort of their homes, enabling clients to access a large base of users in their area and customers to get anything they want delivered to their homes.",Nomw Capital,Technology Shock,Cloud Computing,E-commerce platform founded in the cloud era; business model enabled by scalable cloud infrastructure for online retail/marketplace operations.
282620-71T,Gringo,"Mobile, Mobility Tech",Brazil,2019,Sao Paulo,South America,Americas,"Sao Paulo, Brazil",Automotive,Transportation,Consumer Products and Services (B2C),1-Jan-25,6,Merger/Acquisition,147,85.4,"Developer of a car management application designed to ease the process of buying, selling, financing, and insuring the car. The company's application offers real-time alerts on fines, annual taxes, points, and license expiration, enabling drivers to monitor or perform services related to their vehicle documents.",Corpay (NYS: CPAY)(Ronald Clarke),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
275551-66T,Ghost (Consumer Non-Durables),LOHAS & Wellness,United States,2016,Henderson,North America,Americas,"Henderson, NV",Other Consumer Non-Durables,Consumer Non-Durables,Consumer Products and Services (B2C),31-Dec-24,8,Merger/Acquisition,"1,665.00",,"Producer of nutrition-based food products and supplements intended to support healthy lifestyles. The company provides sports diet products, rich in nutritional value in the form of powders, snacks, and other forms, as well as apparel, providing fitness enthusiasts with a healthy diet and helping sports players maintain their fitness.",Keurig Dr Pepper (NAS: KDP)(Tim Cofer),Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
255264-94T,Conch Material (HKG: 02560),Manufacturing,China,2018,Wuhu,East Asia,Asia,"Wuhu, China",Raw Materials (Non-Wood),Construction (Non-Wood),Materials and Resources,31-Dec-24,6,IPO,223.78,29.33,"Anhui Conch Material Technology Co Ltd is a fine chemical materials supplier that produces and sells cement admixture, concrete admixture and upstream raw materials. It mainly includes (i) the various types of Cement admixture and in-process intermediaries, (ii) Concrete admixture and in-process intermediaries. and Others. Geographically, it generates the majority of revenue from Mainland China.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
225955-36T,HealthyWay (HKG: 02587),"Digital Health, HealthTech, LOHAS & Wellness",China,2000,Fuzhou,East Asia,Asia,"Fuzhou, China",Practice Management (Healthcare),Healthcare Services,Healthcare,30-Dec-24,24,IPO,880.56,102.73,"HealthyWay Inc operates a digital health and medical service platform in China. It has two main business segments: (i) health and medical services and (ii) corporate and digital marketing services. The health and medical services enable It to build an extensive connection between the supply and demand sides of the digital health and wellness market. The corporate services (especially content services) can benefit from its nationwide physician network, because it can develop corporate services that cover a wider range of medical specialties. The company generates the majority of its revenue from the corporate and digital marketing services.",,Technology Shock,World Wide Web,Founded in the WWW commercialisation window; core business model enabled by the public release of web protocols.
212922-64T,Air China Cargo (SHE: 001391),,China,2003,Beijing,East Asia,Asia,"Beijing, China",Logistics,Commercial Services,Business Products and Services (B2B),30-Dec-24,21,IPO,"3,794.57","1,210.00","Air China Cargo Co Ltd provides professional and reliable solutions for air cargo transportation needs. The company is also involved in domestic and international business aviation operations, aircraft sales, aircraft maintenance, airline agency services, ground and air express services related to its core businesses, onboard duty-free sales, onboard retail operations, and as an agent for aviation accident insurance sales.",,Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
264195-73T,InnoScience (Suzhou) Technology Holding (HKG: 02577),"CleanTech, Manufacturing",China,2015,Suzhou,East Asia,Asia,"Suzhou, China",General Purpose Semiconductors,Semiconductors,Information Technology,30-Dec-24,9,IPO,"3,489.60",951.73,"InnoScience (Suzhou) Technology Holding Co Ltd is driving innovation in the power semiconductor industry, dedicated to advancing the GaN power semiconductor industry and fostering its ecosystem. Gallium Nitride on Silicon is a technology of growing gallium nitride crystals on silicon substrates, a combination that leverages the high electron mobility and thermal stability of GaN with the cost-effectiveness and scalability of Silicon, making it ideal for high-power and high-frequency applications. It has one operating segment, which is the sales of GaN power semiconductor products.","Jiangsu High-Tech Investment Group, STMicroelectronics (PAR: STMPA), Suzhou Wujiang Orient State-Owned Capital Investment Management, Suzhou Zhanxin Investment Management",Other,N/A,No shock catalyst matched both causal and temporal validation criteria.
